Provinsi,ipm_2024,rls_2024,hp_seluler_2024,pdrb_kapita_2024,tpt_2024
Aceh,74.03,9.64,64.64,43782.0,5.75
Sumatera Utara,74.02,9.93,68.43,73575.0,5.6
Sumatera Barat,74.49,9.44,68.45,57083.0,5.75
Riau,74.79,9.43,74.74,165350.0,3.7
Jambi,73.43,8.9,70.2,86775.0,4.48
Sumatera Selatan,73.18,8.53,67.12,71240.0,3.97
Bengkulu,73.21,8.98,66.85,48210.0,3.12
Lampung,71.65,8.24,67.9,48120.0,4.18
Kepulauan Bangka Belitung,73.78,8.28,73.45,68500.0,4.65
Kepulauan Riau,77.11,10.41,83.9,154200.0,6.39
DKI Jakarta,83.08,11.49,81.25,344383.0,6.21
Jawa Barat,74.24,8.95,72.15,53120.0,6.75
Jawa Tengah,73.35,8.02,68.5,45230.0,4.78
DI Yogyakarta,81.09,9.85,76.8,48910.0,3.69
Jawa Timur,74.05,8.15,69.4,71120.0,4.19
Banten,73.85,9.12,73.1,65430.0,6.68
Bali,77.1,9.25,78.2,62150.0,2.73
Nusa Tenggara Barat,70.2,7.75,68.1,29450.0,2.72
Nusa Tenggara Timur,66.85,7.82,52.4,22150.0,3.14
Kalimantan Barat,69.8,7.68,65.2,51200.0,4.9
Kalimantan Tengah,72.8,8.7,70.1,72400.0,3.95
Kalimantan Selatan,72.55,8.45,71.8,63200.0,3.81
Kalimantan Timur,78.2,9.92,80.15,210500.0,5.14
Kalimantan Utara,72.88,9.18,75.6,185400.0,4.01
Sulawesi Utara,74.85,9.68,71.3,62800.0,5.85
Sulawesi Tengah,71.2,8.92,66.9,105200.0,2.87
Sulawesi Selatan,73.9,8.75,69.8,70800.0,4.22
Sulawesi Tenggara,72.85,9.15,67.5,60400.0,3.09
Gorontalo,70.45,8.1,65.8,41200.0,3.06
Sulawesi Barat,67.85,8.05,60.1,38900.0,3.02
Maluku,71.1,10.2,62.3,29100.0,6.15
Maluku Utara,70.9,9.22,64.1,118500.0,4.1
Papua Barat,66.8,7.8,58.9,92100.0,5.38
Papua Barat Daya,66.2,7.65,57.4,78400.0,5.1
Papua,62.8,7.2,48.5,68900.0,4.8
Papua Tengah,58.1,5.2,32.1,142500.0,2.1
Papua Pegunungan,53.42,4.21,15.76,18105.0,1.32
Papua Selatan,62.1,6.9,45.8,49200.0,2.85
