Provinsi,hp_seluler_2024,rls_2024,ipm_2024,pdrb_kapita_2024,tpt_2024,klaster,nama_klaster,indeks_kerentanan,peringkat,kategori,lisa_q,lisa_p,lisa,lat,lon,gwr_rls_2024,gwr_ipm_2024,gwr_pdrb_log,gwr_tpt_2024
Aceh,64.64,9.64,74.03,43782.0,5.75,2,Berkembang Menengah,0.400150515667183,15,Tinggi,Low-High,0.081,Tidak signifikan,4.230875383961728,96.90529255699187,-3.003244961031372,8.272932636662155,2.776074472334876,0.5488053650995105
Sumatera Utara,68.43,9.93,74.02,73575.0,5.6,2,Berkembang Menengah,0.3405513143948675,29,Rendah,High-High,0.098,Tidak signifikan,2.202600864246851,99.06224837712878,-2.949332858056968,8.303489757485213,2.7117039591553107,0.5313694476586713
Sumatera Barat,68.45,9.44,74.49,57083.0,5.75,2,Berkembang Menengah,0.36638972871312875,19,Tinggi,High-High,0.077,Tidak signifikan,-0.8343717359145835,100.46056021573602,-2.893402985594136,8.335571157685134,2.6280764821181175,0.5121699747485318
Riau,74.74,9.43,74.79,165350.0,3.7,0,Maju dan Terhubung,0.24131538919215195,35,Rendah,High-High,0.076,Tidak signifikan,0.5058364112395248,101.79714915400152,-2.8752964624627317,8.346152735348905,2.63241744192841,0.5102585934720969
Jambi,70.2,8.9,73.43,86775.0,4.48,2,Berkembang Menengah,0.3382067116010701,31,Rendah,High-High,0.055,Tidak signifikan,-1.6936872023112446,102.71665282579627,-2.830234228212463,8.37256061497864,2.5644180355083614,0.4958289377450069
Sumatera Selatan,67.12,8.53,73.18,71240.0,3.97,2,Berkembang Menengah,0.3697052409803501,18,Tinggi,High-High,0.066,Tidak signifikan,-3.2171592140051843,104.16947752691725,-2.7728233606758232,8.407588606856036,2.492986371336536,0.4803273753257554
Bengkulu,66.85,8.98,73.21,48210.0,3.12,2,Berkembang Menengah,0.3759400531313382,17,Tinggi,High-High,0.1,Tidak signifikan,-3.5683898190134924,102.35695717280105,-2.822192659555665,8.379191533436021,2.530324001916756,0.4910985634636808
Lampung,67.9,8.24,71.65,48120.0,4.18,2,Berkembang Menengah,0.4157583555430801,13,Tinggi,High-High,0.049,High-High,-4.911855608655352,105.0146324252215,-2.728516349254289,8.437202931392676,2.426997854086209,0.468168582105628
Kepulauan Bangka Belitung,73.45,8.28,73.78,68500.0,4.65,2,Berkembang Menengah,0.35322261855969245,26,Sedang,High-High,0.024,High-High,-2.4410556382899204,106.54205058173592,-2.6968454186940476,8.452357661403536,2.441447998160751,0.4643849014191
Kepulauan Riau,83.9,10.41,77.11,154200.0,6.39,0,Maju dan Terhubung,0.19371049547547164,36,Rendah,High-High,0.146,Tidak signifikan,1.598714034248732,105.63663846210804,-2.7757861576816607,8.407350445884092,2.5738487467729407,0.4890713042817812
DKI Jakarta,81.25,11.49,83.08,344383.0,6.21,0,Maju dan Terhubung,0.0695619193227133,38,Rendah,High-High,0.054,Tidak signifikan,-6.199708229546089,106.83595181317062,-2.6475810770749444,8.49166447717667,2.3306890382275487,0.449065893301308
Jawa Barat,72.15,8.95,74.24,53120.0,6.75,2,Berkembang Menengah,0.3807601960508178,16,Tinggi,High-High,0.026,High-High,-6.916622352850881,107.6098127130233,-2.608126629376009,8.520821158801619,2.279978351118262,0.43987831999483373
Jawa Tengah,68.5,8.02,73.35,45230.0,4.78,2,Berkembang Menengah,0.4140241174492156,14,Tinggi,High-High,0.004,High-High,-7.255674917248,110.19896049940253,-2.477311480587593,8.619798998395034,2.144712693369004,0.41053091099596073
DI Yogyakarta,76.8,9.85,81.09,48910.0,3.69,2,Berkembang Menengah,0.24587179582450489,34,Rendah,High-High,0.014,High-High,-7.8822968393343915,110.4371818652184,-2.46003149932641,8.639402782996719,2.112279682182583,0.40598451432862404
Jawa Timur,69.4,8.15,74.05,71120.0,4.19,2,Berkembang Menengah,0.3634903058374737,20,Sedang,High-High,0.009,High-High,-7.726726323653738,112.70690808935393,-2.3291309771010353,8.772112174766468,1.974639110020593,0.3697567429099926
Banten,73.1,9.12,73.85,65430.0,6.68,2,Berkembang Menengah,0.3614721510419062,22,Sedang,High-High,0.036,High-High,-6.4637780402372496,106.09524703947935,-2.6746327548647053,8.475279289281556,2.3513755559145024,0.45465827530386066
Bali,78.2,9.25,77.1,62150.0,2.73,2,Berkembang Menengah,0.2630398747583651,32,Rendah,High-High,0.102,Tidak signifikan,-8.36811795718612,115.10472802361114,-2.2115088452151626,9.030623056764307,1.782751704923541,0.29863013037718505
Nusa Tenggara Barat,68.1,7.75,70.2,29450.0,2.72,2,Berkembang Menengah,0.4550697904371258,11,Tinggi,High-High,0.435,Tidak signifikan,-8.616972451799212,117.49590966845061,-2.1398231929247373,9.5240705288628,1.5694835343109033,0.14334734588609932
Nusa Tenggara Timur,52.4,7.82,66.85,22150.0,3.14,3,Tertinggal Sedang,0.5763804365902845,5,Sangat Tinggi,Low-High,0.446,Tidak signifikan,-9.267099679241042,122.17257287540707,-0.5244000807923204,11.52610810955936,0.5377188089623592,0.07281428096737369
Kalimantan Barat,65.2,7.68,69.8,51200.0,4.9,2,Berkembang Menengah,0.4620277486952976,9,Sangat Tinggi,Low-High,0.002,Low-High,-0.08983580511152767,111.12640585954823,-2.4904009838438927,8.591463761780341,2.3209407188420696,0.4210470972937442
Kalimantan Tengah,70.1,8.7,72.8,72400.0,3.95,2,Berkembang Menengah,0.35488886409095016,25,Sedang,High-High,0.135,Tidak signifikan,-1.6068090500429097,113.42262652953902,-2.3086019625663914,8.742385759681692,2.1320646076503595,0.3726593789159256
Kalimantan Selatan,71.8,8.45,72.55,63200.0,3.81,2,Berkembang Menengah,0.3630509980798012,21,Sedang,High-High,0.115,Tidak signifikan,-3.006443045752351,115.44005277465872,-2.1535751300418013,8.966159662974619,1.936865660962091,0.30531713389503184
Kalimantan Timur,80.15,9.92,78.2,210500.0,5.14,0,Maju dan Terhubung,0.17604084990050572,37,Rendah,High-High,0.248,Tidak signifikan,0.4565830576403072,116.44151208495568,-2.075975713176856,9.089048909470087,1.9797848485372667,0.27507408553110363
Kalimantan Utara,75.6,9.18,72.88,185400.0,4.01,0,Maju dan Terhubung,0.2569773030431315,33,Rendah,High-High,0.26,Tidak signifikan,2.899081627710476,116.22071973318313,-2.098374905330755,9.04888613159055,2.0816160366763405,0.3015014707065343
Sulawesi Utara,71.3,9.68,74.85,62800.0,5.85,2,Berkembang Menengah,0.33986526155212304,30,Rendah,High-Low,0.422,Tidak signifikan,1.2244132352521628,124.50238892333815,-0.1023725217178042,12.224336768925257,0.7941223343443611,0.13299471161274445
Sulawesi Tengah,66.9,8.92,71.2,105200.0,2.87,2,Berkembang Menengah,0.3405678623372529,28,Sedang,High-High,0.206,Tidak signifikan,-1.0108167231932297,121.16208472292435,-0.9990695017918709,11.04718830106452,1.025713608635824,-0.12408329336513745
Sulawesi Selatan,69.8,8.75,73.9,70800.0,4.22,2,Berkembang Menengah,0.34965086119264666,27,Sedang,High-High,0.269,Tidak signifikan,-3.6909964718191817,120.16021020360017,-1.5817174942549586,10.3901945123794,1.2852846359219912,-0.11317798625807365
Sulawesi Tenggara,67.5,9.15,72.85,60400.0,3.09,2,Berkembang Menengah,0.35702639991384044,23,Sedang,High-Low,0.387,Tidak signifikan,-4.105233663947603,122.04032245465926,-0.5596856743026075,11.48028686826026,0.733420359624773,-0.0189588094830688
Gorontalo,65.8,8.1,70.45,41200.0,3.06,2,Berkembang Menengah,0.43622615683521776,12,Tinggi,High-High,0.291,Tidak signifikan,0.6954255749161165,122.3600005761068,-0.521509422837942,11.682020063340797,0.8586528300086693,-0.0639766273232273
Sulawesi Barat,60.1,8.05,67.85,38900.0,3.02,3,Tertinggal Sedang,0.4893523424861514,7,Sangat Tinggi,Low-High,0.153,Tidak signifikan,-2.455081037850468,119.35032735145678,-1.6368530269479487,10.104596116245837,1.3994099187773903,0.0014147517304895771
