skema,ruang,algoritma,k,silhouette,davies_bouldin,calinski,ukuran,skor
Robust,PCA2,Ward,4,0.5299367653356203,0.611321262957128,47.46986392392748,"[2, 5, 6, 25]",0.9963235294117648
Robust,PCA2,KMeans,4,0.5299367653356203,0.6113212629571281,47.46986392392747,"[2, 5, 6, 25]",0.9914215686274511
Standard,PCA2,Ward,4,0.4572226767163365,0.6440100355303181,45.95813281461412,"[2, 5, 8, 23]",0.9656862745098039
Standard,PCA2,KMeans,4,0.449988765549527,0.6494189398639816,46.12474111531986,"[2, 5, 9, 22]",0.9607843137254902
Robust,PCA2,Ward,3,0.5467695243062254,0.6540508136811848,37.92392823490558,"[5, 8, 25]",0.9607843137254902
YeoJohnson,PCA2,KMeans,6,0.4404406160291989,0.6192005699404642,41.52996200103612,"[3, 3, 3, 8, 8, 13]",0.9509803921568628
YeoJohnson,PCA2,KMeans,5,0.4510937333663428,0.6650470891542734,41.92520735000044,"[3, 3, 8, 10, 14]",0.9509803921568628
Robust,PCA3,KMeans,4,0.4775664307700668,0.6715680474679965,40.60277819547415,"[2, 5, 6, 25]",0.9509803921568628
Robust,PCA3,Ward,4,0.4775704227271548,0.6603421227520961,38.99182197914922,"[2, 5, 5, 26]",0.948529411764706
Robust,PCA3,Ward,3,0.5191020952276377,0.700058177365114,35.45329448203656,"[5, 7, 26]",0.9166666666666666
YeoJohnson,PCA2,Ward,6,0.4177551784121329,0.6722967304798702,39.68973282761325,"[2, 3, 3, 5, 8, 17]",0.9142156862745098
log+Standard,PCA2,Ward,5,0.412477433532764,0.6899110482389064,40.03282506348762,"[2, 5, 6, 8, 17]",0.9031862745098039
log+Standard,PCA2,KMeans,5,0.412477433532764,0.6899110482389064,40.03282506348762,"[2, 5, 6, 8, 17]",0.9031862745098039
Robust,fitur,KMeans,4,0.4474880113421371,0.7109649042235437,36.74657499310465,"[2, 5, 6, 25]",0.8995098039215687
Robust,fitur,Ward,4,0.4474880113421371,0.7109649042235439,36.74657499310465,"[2, 5, 6, 25]",0.8970588235294118
YeoJohnson,PCA2,KMeans,4,0.43378852351836683,0.6762452325758123,34.97757550226508,"[3, 7, 8, 20]",0.8909313725490197
YeoJohnson,PCA2,Ward,4,0.43378852351836683,0.6762452325758123,34.97757550226508,"[3, 7, 8, 20]",0.8909313725490197
Robust,fitur,Ward,3,0.4833781981156349,0.7523423134219741,31.892023499796654,"[5, 8, 25]",0.8725490196078431
log+Standard,PCA2,Ward,4,0.41311962943677716,0.7396683605214069,35.97677450408083,"[2, 5, 6, 25]",0.8676470588235294
Robust,PCA2,Spectral,3,0.45805391386185623,0.7411014489862984,28.164131263306636,"[7, 9, 22]",0.8651960784313726
YeoJohnson,PCA2,KMeans,3,0.4365032746560365,0.7334721965804238,31.778940629367828,"[3, 9, 26]",0.8627450980392157
YeoJohnson,PCA2,Ward,5,0.4116481614292737,0.735578835443141,35.87818783476876,"[2, 3, 5, 8, 20]",0.8602941176470589
log+Standard,PCA3,KMeans,6,0.40180296998820636,0.7218315996998194,27.544262149133015,"[2, 3, 4, 5, 7, 17]",0.8357843137254903
log+Standard,PCA2,KMeans,4,0.40077047895740686,0.7756543519790595,37.68232418362509,"[2, 5, 9, 22]",0.8308823529411765
Standard,PCA3,KMeans,5,0.3933766694696552,0.7522134929495206,32.0807872438721,"[2, 3, 7, 7, 19]",0.823529411764706
Standard,PCA3,Ward,5,0.39617549321251727,0.7467110482396372,31.45015933512649,"[2, 5, 6, 7, 18]",0.823529411764706
log+Standard,PCA3,Ward,6,0.392919836587878,0.7098463885471605,26.7608182893423,"[2, 3, 3, 5, 7, 18]",0.8210784313725491
YeoJohnson,PCA3,KMeans,6,0.3991631834603208,0.7702029460208633,24.27017443113176,"[3, 3, 4, 4, 7, 17]",0.7647058823529411
Standard,PCA3,KMeans,4,0.35763280959079347,0.7787294313358673,27.30346877085943,"[3, 5, 8, 22]",0.7426470588235294
Standard,fitur,KMeans,5,0.3610736867867108,0.8124374186576253,28.316066309145103,"[2, 3, 7, 7, 19]",0.7401960784313726
