tanggal,volume_konsultasi_mental,indeks_stres_finansial,panggilan_krisis_psikologis,indeks_burnout_pekerja
2019-01-01,2699,51.94,1145,43.84
2019-02-01,2670,58.07,1313,45.1
2019-03-01,3210,52.98,1216,45.17
2019-04-01,3785,60.23,1149,46.47
2019-05-01,3308,58.35,1109,50.27
2019-06-01,3533,55.71,1118,44.45
2019-07-01,4484,53.67,1358,48.73
2019-08-01,4384,47.17,1484,45.74
2019-09-01,4115,48.41,1369,47.9
2019-10-01,4745,48.89,1388,50.69
2019-11-01,4568,51.96,1242,49.6
2019-12-01,4793,50.82,1188,48.34
2020-01-01,5301,53.54,1585,49.34
2020-02-01,4664,57.35,1528,51.88
2020-03-01,7965,62.34,1790,50.21
2020-04-01,8778,62.34,1906,52.09
2020-05-01,8950,60.24,1666,52.28
2020-06-01,9839,60.17,1914,51.68
2020-07-01,9714,56.67,2058,56.33
2020-08-01,9881,55.49,2050,54.51
2020-09-01,11407,50.54,2376,50.98
2020-10-01,11111,50.66,2166,54.74
2020-11-01,11616,51.6,2130,53.92
2020-12-01,11413,52.12,2191,56.64
2021-01-01,12166,58.53,2240,54.63
2021-02-01,12836,61.72,2410,56.1
2021-03-01,12747,63.71,2388,57.48
2021-04-01,13781,64.33,2388,58.47
2021-05-01,13822,61.65,2323,55.82
2021-06-01,14385,61.49,2424,57.57
2021-07-01,14709,58.88,2587,57.81
2021-08-01,16148,55.31,2934,57.99
2021-09-01,15869,54.51,2835,62.07
2021-10-01,15928,54.98,2828,60.48
2021-11-01,17168,58.7,2709,58.43
2021-12-01,16848,58.06,2909,62.15
2022-01-01,17929,61.46,3002,64.41
2022-02-01,17582,64.12,2971,63.22
2022-03-01,18367,63.24,3048,59.85
2022-04-01,19522,67.7,3181,61.85
2022-05-01,20297,67.3,3088,64.93
2022-06-01,20642,69.68,3204,62.42
2022-07-01,21113,62.15,3371,64.6
2022-08-01,21639,60.29,3521,65.54
2022-09-01,21784,57.74,3476,63.44
2022-10-01,22720,55.15,3405,65.19
2022-11-01,23472,60.36,3451,60.87
2022-12-01,24745,62.1,3708,64.65
2023-01-01,25143,65.42,3834,66.25
2023-02-01,25003,65.61,3831,65.21
2023-03-01,26559,72.22,4131,69.98
2023-04-01,27018,68.23,4073,65.84
2023-05-01,27664,71.25,3919,67.78
2023-06-01,28965,72.19,4158,69.08
2023-07-01,29941,63.72,4398,71.5
2023-08-01,30732,61.73,4526,67.63
2023-09-01,30881,60.98,4664,71.98
2023-10-01,31975,59.34,4682,70.71
2023-11-01,33140,58.51,4734,69.67
2023-12-01,34335,63.87,4875,72.28
2024-01-01,34719,65.09,4856,72.34
2024-02-01,35833,71.1,5155,71.59
2024-03-01,36492,71.04,5350,73.05
2024-04-01,37517,76.54,5343,72.82
2024-05-01,39415,71.79,5441,74.02
2024-06-01,40762,70.67,5870,75.29
2024-07-01,41358,69.96,5809,77.13
2024-08-01,42993,63.53,6180,73.34
2024-09-01,43982,64.21,6284,78.85
2024-10-01,44866,65.6,6236,73.17
2024-11-01,46599,61.41,6237,76.32
2024-12-01,48445,67.08,6544,77.88
