model,h,mape,rmse,smape
Drift,3,3.586,1140.855,3.496
ETS (Holt-Winters),3,5.393,1763.601,5.341
Ensemble (SARIMA+ETS+Prophet),3,4.698,1382.624,4.604
Prophet,3,8.328,2394.484,8.242
SARIMA,3,3.394,949.731,3.273
SARIMAX (+driver),3,3.633,1067.9,3.591
Seasonal-Naive+drift,3,23.008,6611.608,20.535
Drift,12,13.222,4771.594,12.145
ETS (Holt-Winters),12,6.699,2326.631,6.778
Ensemble (SARIMA+ETS+Prophet),12,6.488,1997.859,6.268
Prophet,12,12.03,3616.457,11.61
SARIMA,12,5.751,1662.345,5.357
SARIMAX (+driver),12,4.367,1437.996,4.269
Seasonal-Naive+drift,12,25.214,7356.868,22.311
