tanggal,ensemble,sarima,ets,prophet,ci68_bawah,ci68_atas,ci95_bawah,ci95_atas,indeks_stres_finansial,indeks_burnout_pekerja,panggilan_krisis_psikologis
2025-01-01,48578.957,48669.879,48880.381,48186.612,47304.592,50074.569,46015.707,51477.142,69.357,77.221,6543.436
2025-02-01,48970.59,49910.64,47041.775,49959.357,48188.21,51694.635,46572.817,53487.681,72.972,77.582,6808.87
2025-03-01,52575.124,51453.591,52740.764,53531.017,49321.093,53678.291,47335.273,55930.215,74.182,78.0,7227.64
2025-04-01,54550.984,52739.744,55443.636,55469.573,50146.194,55467.432,47750.235,58250.616,76.439,78.276,7240.775
2025-05-01,54515.45,55047.957,54131.356,54367.037,52066.591,58200.038,49326.591,61432.943,74.925,79.512,7152.039
2025-06-01,56594.288,57173.332,55558.223,57051.309,53832.784,60721.176,50776.339,64376.243,74.764,78.717,7682.516
2025-07-01,58039.312,58188.628,57248.755,58680.552,54500.525,62126.308,51143.584,66204.129,70.571,81.291,7747.831
2025-08-01,59478.059,60250.427,57646.419,60537.333,56174.496,64622.1,52481.217,69169.774,66.935,79.37,8152.927
2025-09-01,60430.902,61507.26,57299.605,62485.84,57128.526,66221.611,53175.724,71144.175,65.698,81.085,8288.789
2025-10-01,61568.84,62961.262,58124.032,63621.224,58244.867,68059.569,54004.055,73404.127,65.355,81.013,8221.724
2025-11-01,63327.142,65310.719,58698.788,65971.918,60181.277,70877.359,55586.909,76735.513,66.627,79.952,8209.639
2025-12-01,64519.753,67856.187,58820.375,66882.699,62311.057,73894.784,57361.259,80271.286,68.498,82.106,8530.733
2026-01-01,65796.381,68316.265,60263.762,68809.114,61944.95,75342.899,56328.156,82855.758,71.787,82.336,8587.698
2026-02-01,65509.645,70046.197,57778.459,68704.279,62965.279,77923.417,56776.048,86417.951,75.39,82.671,8894.068
2026-03-01,70578.238,72115.64,64538.495,75080.578,64256.537,80935.975,57446.569,90530.48,76.588,83.064,9453.791
2026-04-01,73633.337,73972.765,67599.473,79327.775,65301.748,83795.154,57856.765,94577.876,78.833,83.315,9490.881
2026-05-01,73177.647,77251.516,65763.998,76517.427,67674.984,88183.202,59514.488,100274.689,77.307,84.525,9354.649
2026-06-01,75560.789,80174.821,67261.002,79246.544,69742.867,92167.159,60914.972,105524.17,77.134,83.705,10027.836
2026-07-01,78367.978,81598.141,69069.162,84436.63,70459.661,94497.426,61102.15,108969.267,72.93,86.254,10156.801
2026-08-01,79817.602,84531.049,69313.948,85607.81,72494.446,98566.148,62450.424,114418.732,69.281,84.309,10662.682
2026-09-01,80169.326,86274.665,68668.346,85564.967,73530.598,101227.488,62961.318,118220.488,68.033,85.999,10792.76
2026-10-01,82654.012,88294.832,69429.394,90237.809,74783.882,104246.761,63647.386,122487.001,67.678,85.902,10754.183
2026-11-01,84708.165,91612.943,69891.605,92619.947,77122.015,108826.66,65249.462,128628.36,68.938,84.817,10723.548
2026-12-01,86892.752,95185.925,69816.327,95676.003,79674.507,113717.182,67037.084,135154.452,70.797,86.947,11172.034
