skema,h,mape
Tanpa dummy,3,23.2873
Tanpa dummy,3,36.7979
Tanpa dummy,3,62.9498
Tanpa dummy,3,47.1276
Tanpa dummy,3,4.0883
Tanpa dummy,3,4.4503
Tanpa dummy,3,6.7935
Tanpa dummy,3,5.7617
Tanpa dummy,3,12.6856
Tanpa dummy,3,2.2724
Tanpa dummy,3,3.4902
Tanpa dummy,3,3.3979
Tanpa dummy,3,5.332
Tanpa dummy,3,8.743
Tanpa dummy,3,10.1666
Tanpa dummy,3,1.7817
Tanpa dummy,3,1.5461
Tanpa dummy,3,5.3906
Tanpa dummy,3,3.6744
Tanpa dummy,3,4.1148
Tanpa dummy,3,1.5089
Tanpa dummy,3,3.7012
Tanpa dummy,3,2.7261
Tanpa dummy,3,3.8858
Tanpa dummy,3,4.3879
Tanpa dummy,3,1.8399
Tanpa dummy,3,2.8449
Tanpa dummy,3,3.9501
Tanpa dummy,3,1.4806
Tanpa dummy,3,2.9313
Tanpa dummy,3,1.8813
Tanpa dummy,3,0.4589
Tanpa dummy,3,0.4393
Tanpa dummy,3,1.1375
Tanpa dummy,3,1.2829
Tanpa dummy,3,1.8042
Tanpa dummy,3,1.7695
Tanpa dummy,3,1.4784
Tanpa dummy,3,3.2301
Tanpa dummy,3,1.3504
Tanpa dummy,3,1.3473
Tanpa dummy,3,1.4877
Tanpa dummy,3,1.1451
Tanpa dummy,3,1.7135
Tanpa dummy,3,0.8242
Tanpa dummy,3,1.2762
Tanpa dummy,12,52.6728
Tanpa dummy,12,52.4629
Tanpa dummy,12,72.0702
Tanpa dummy,12,45.8568
Tanpa dummy,12,7.9666
Tanpa dummy,12,8.4382
Tanpa dummy,12,14.3772
Tanpa dummy,12,5.939
Tanpa dummy,12,16.3046
Tanpa dummy,12,10.1128
Tanpa dummy,12,9.9956
Tanpa dummy,12,15.1909
Tanpa dummy,12,13.5925
Tanpa dummy,12,13.7365
Tanpa dummy,12,14.0566
Tanpa dummy,12,3.6229
Tanpa dummy,12,2.7638
Tanpa dummy,12,6.4702
Tanpa dummy,12,3.5862
Tanpa dummy,12,3.8376
Tanpa dummy,12,2.2744
Tanpa dummy,12,2.2154
Tanpa dummy,12,2.8918
Tanpa dummy,12,1.6947
Tanpa dummy,12,6.9236
Tanpa dummy,12,2.4128
Tanpa dummy,12,1.4257
Tanpa dummy,12,2.7415
Tanpa dummy,12,1.3097
Tanpa dummy,12,2.3754
Tanpa dummy,12,1.4208
Tanpa dummy,12,1.2283
Tanpa dummy,12,1.5031
Tanpa dummy,12,1.5163
Tanpa dummy,12,1.2764
Tanpa dummy,12,1.3178
Tanpa dummy,12,1.2239
Step (0/1 sejak onset),3,8.0739
Step (0/1 sejak onset),3,9.6453
Step (0/1 sejak onset),3,11.2565
Step (0/1 sejak onset),3,4.5013
Step (0/1 sejak onset),3,3.8653
Step (0/1 sejak onset),3,4.382
Step (0/1 sejak onset),3,7.1959
Step (0/1 sejak onset),3,6.1231
Step (0/1 sejak onset),3,6.4522
Step (0/1 sejak onset),3,6.0482
Step (0/1 sejak onset),3,2.1078
Step (0/1 sejak onset),3,3.8699
Step (0/1 sejak onset),3,3.1417
Step (0/1 sejak onset),3,3.0581
Step (0/1 sejak onset),3,1.9265
Step (0/1 sejak onset),3,2.1932
Step (0/1 sejak onset),3,2.3161
Step (0/1 sejak onset),3,4.3177
Step (0/1 sejak onset),3,5.8909
Step (0/1 sejak onset),3,6.0124
Step (0/1 sejak onset),3,4.8121
Step (0/1 sejak onset),3,2.4815
Step (0/1 sejak onset),3,2.3065
Step (0/1 sejak onset),3,2.3929
Step (0/1 sejak onset),3,1.3454
Step (0/1 sejak onset),3,1.844
Step (0/1 sejak onset),3,12.4808
Step (0/1 sejak onset),3,5.9307
Step (0/1 sejak onset),3,2.5727
Step (0/1 sejak onset),3,3.9885
Step (0/1 sejak onset),3,4.2509
Step (0/1 sejak onset),3,3.7998
Step (0/1 sejak onset),3,4.1996
Step (0/1 sejak onset),3,1.9569
Step (0/1 sejak onset),3,1.3278
Step (0/1 sejak onset),3,1.6566
Step (0/1 sejak onset),3,1.4593
Step (0/1 sejak onset),3,1.5726
Step (0/1 sejak onset),3,1.7842
Step (0/1 sejak onset),3,0.9705
Step (0/1 sejak onset),3,1.3443
Step (0/1 sejak onset),3,0.7159
Step (0/1 sejak onset),3,1.0407
Step (0/1 sejak onset),3,0.6763
Step (0/1 sejak onset),3,0.7772
Step (0/1 sejak onset),3,0.1941
Step (0/1 sejak onset),12,12.9816
Step (0/1 sejak onset),12,14.1033
Step (0/1 sejak onset),12,16.8953
Step (0/1 sejak onset),12,8.0976
Step (0/1 sejak onset),12,7.3652
Step (0/1 sejak onset),12,6.9065
Step (0/1 sejak onset),12,7.2442
Step (0/1 sejak onset),12,3.9794
Step (0/1 sejak onset),12,7.0428
Step (0/1 sejak onset),12,6.6217
Step (0/1 sejak onset),12,4.2635
Step (0/1 sejak onset),12,5.0358
